Geografi,År,Kjønn,Alder,"Skala 0-10, tilfredshet",Sosial status,Måltall,value
Hele landet,2021,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",49.4529341441863
Hele landet,2021,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",59.8345706285802
Hele landet,2021,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",38.8250453625056
Hele landet,2024,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",49.8139982477055
Hele landet,2024,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",59.1043050326438
Hele landet,2024,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",40.1718157736832
Telemark,2021,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",52.7080645056421
Telemark,2021,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",63.7652682717358
Telemark,2021,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",41.3884765403536
Telemark,2024,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",52.5160618300436
Telemark,2024,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",61.5231242563753
Telemark,2024,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",43.1723799152824
Porsgrunn,2021,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",48.1712089117275
Porsgrunn,2021,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",61.0268214033233
Porsgrunn,2021,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",35.1498627686216
Porsgrunn,2024,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",51.0717817594211
Porsgrunn,2024,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",59.0196214649224
Porsgrunn,2024,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",42.8117637733093
Skien,2021,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",52.0327031595899
Skien,2021,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",63.969464477318
Skien,2021,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",39.8592256303118
