År;Region;Alder;Utflytting;Innflytting;Nettoflytting
2016;Porsgrunn;0 år;11;18;7
2016;Porsgrunn;1 år;27;31;4
2016;Porsgrunn;10 år;9;12;3
2016;Porsgrunn;11 år;13;10;-3
2016;Porsgrunn;12 år;5;8;3
2016;Porsgrunn;13 år;10;15;5
2016;Porsgrunn;14 år;10;12;2
2016;Porsgrunn;15 år;15;16;1
2016;Porsgrunn;16 år;18;30;12
2016;Porsgrunn;17 år;11;23;12
2016;Porsgrunn;18 år;21;46;25
2016;Porsgrunn;19 år;52;75;23
2016;Porsgrunn;2 år;30;33;3
2016;Porsgrunn;20 år;66;66;0
2016;Porsgrunn;21 år;76;86;10
2016;Porsgrunn;22 år;87;98;11
2016;Porsgrunn;23 år;80;71;-9
2016;Porsgrunn;24 år;91;83;-8
2016;Porsgrunn;25 år;91;74;-17
2016;Porsgrunn;26 år;82;80;-2
2016;Porsgrunn;27 år;83;91;8
2016;Porsgrunn;28 år;78;81;3
2016;Porsgrunn;29 år;54;72;18
2016;Porsgrunn;3 år;29;32;3
2016;Porsgrunn;30 år;55;58;3
2016;Porsgrunn;31 år;44;52;8
2016;Porsgrunn;32 år;49;40;-9
2016;Porsgrunn;33 år;31;27;-4
2016;Porsgrunn;34 år;33;37;4
2016;Porsgrunn;35 år;23;29;6
2016;Porsgrunn;36 år;31;36;5
2016;Porsgrunn;37 år;24;31;7
2016;Porsgrunn;38 år;26;42;16
2016;Porsgrunn;39 år;39;29;-10
2016;Porsgrunn;4 år;20;32;12
2016;Porsgrunn;40 år;23;26;3
2016;Porsgrunn;41 år;16;27;11
2016;Porsgrunn;42 år;18;26;8
2016;Porsgrunn;43 år;21;26;5
2016;Porsgrunn;44 år;26;19;-7
2016;Porsgrunn;45 år;14;22;8
2016;Porsgrunn;46 år;10;27;17
2016;Porsgrunn;47 år;25;26;1
2016;Porsgrunn;48 år;14;20;6
2016;Porsgrunn;49 år;10;19;9
2016;Porsgrunn;5 år;15;22;7
2016;Porsgrunn;50 år;22;17;-5
2016;Porsgrunn;51 år;18;8;-10
2016;Porsgrunn;52 år;15;17;2
2016;Porsgrunn;53 år;12;17;5
2016;Porsgrunn;54 år;5;7;2
2016;Porsgrunn;55 år;13;15;2
2016;Porsgrunn;56 år;13;15;2
2016;Porsgrunn;57 år;11;13;2
2016;Porsgrunn;58 år;6;9;3
2016;Porsgrunn;59 år;8;14;6
2016;Porsgrunn;6 år;18;17;-1
2016;Porsgrunn;60 år;8;6;-2
2016;Porsgrunn;61 år;9;6;-3
2016;Porsgrunn;62 år;8;11;3
2016;Porsgrunn;63 år;3;11;8
2016;Porsgrunn;64 år;6;4;-2
2016;Porsgrunn;65 år;4;4;0
2016;Porsgrunn;66 år;7;9;2
2016;Porsgrunn;67 år;6;4;-2
2016;Porsgrunn;68 år;8;6;-2
2016;Porsgrunn;69 år;7;5;-2
2016;Porsgrunn;7 år;10;17;7
2016;Porsgrunn;70 år;6;3;-3
2016;Porsgrunn;8 år;11;20;9
2016;Porsgrunn;9 år;16;6;-10
2016;Skien;0 år;22;24;2
2016;Skien;1 år;33;58;25
2016;Skien;10 år;7;18;11
2016;Skien;11 år;9;21;12
2016;Skien;12 år;16;21;5
2016;Skien;13 år;11;21;10
2016;Skien;14 år;8;22;14
2016;Skien;15 år;9;22;13
2016;Skien;16 år;28;40;12
2016;Skien;17 år;17;24;7
2016;Skien;18 år;34;37;3
2016;Skien;19 år;77;48;-29
2016;Skien;2 år;33;46;13
2016;Skien;20 år;90;71;-19
2016;Skien;21 år;98;88;-10
2016;Skien;22 år;131;88;-43
2016;Skien;23 år;98;90;-8
2016;Skien;24 år;94;93;-1
2016;Skien;25 år;123;112;-11
2016;Skien;26 år;97;96;-1
2016;Skien;27 år;80;108;28
2016;Skien;28 år;81;96;15
2016;Skien;29 år;73;72;-1
2016;Skien;3 år;28;38;10
2016;Skien;30 år;59;80;21
2016;Skien;31 år;63;71;8
2016;Skien;32 år;44;63;19
2016;Skien;33 år;37;52;15
2016;Skien;34 år;41;53;12
2016;Skien;35 år;32;37;5
2016;Skien;36 år;39;51;12
2016;Skien;37 år;33;34;1
2016;Skien;38 år;28;36;8
2016;Skien;39 år;22;32;10
2016;Skien;4 år;33;27;-6
2016;Skien;40 år;29;29;0
2016;Skien;41 år;21;35;14
2016;Skien;42 år;25;26;1
2016;Skien;43 år;21;32;11
2016;Skien;44 år;25;30;5
2016;Skien;45 år;22;31;9
2016;Skien;46 år;28;28;0
2016;Skien;47 år;21;21;0
2016;Skien;48 år;24;33;9
2016;Skien;49 år;16;19;3
2016;Skien;5 år;27;28;1
2016;Skien;50 år;17;22;5
2016;Skien;51 år;20;25;5
2016;Skien;52 år;19;14;-5
2016;Skien;53 år;19;21;2
2016;Skien;54 år;13;13;0
2016;Skien;55 år;17;24;7
2016;Skien;56 år;9;15;6
2016;Skien;57 år;18;12;-6
2016;Skien;58 år;15;12;-3
2016;Skien;59 år;18;12;-6
2016;Skien;6 år;27;24;-3
2016;Skien;60 år;9;10;1
2016;Skien;61 år;7;13;6
2016;Skien;62 år;16;6;-10
2016;Skien;63 år;11;8;-3
2016;Skien;64 år;8;10;2
2016;Skien;65 år;9;5;-4
2016;Skien;66 år;9;10;1
2016;Skien;67 år;4;4;0
2016;Skien;68 år;8;9;1
2016;Skien;69 år;6;9;3
2016;Skien;7 år;19;18;-1
2016;Skien;70 år;8;12;4
2016;Skien;8 år;21;15;-6
2016;Skien;9 år;15;31;16
2016;Notodden;0 år;1;5;4
2016;Notodden;1 år;7;10;3
2016;Notodden;10 år;2;7;5
2016;Notodden;11 år;6;15;9
2016;Notodden;12 år;2;3;1
2016;Notodden;13 år;3;3;0
2016;Notodden;14 år;5;3;-2
2016;Notodden;15 år;8;9;1
2016;Notodden;16 år;5;5;0
2016;Notodden;17 år;2;3;1
2016;Notodden;18 år;9;12;3
2016;Notodden;19 år;23;15;-8
2016;Notodden;2 år;12;7;-5
2016;Notodden;20 år;19;25;6
2016;Notodden;21 år;23;34;11
2016;Notodden;22 år;29;39;10
2016;Notodden;23 år;19;18;-1
2016;Notodden;24 år;12;16;4
2016;Notodden;25 år;27;20;-7
2016;Notodden;26 år;24;26;2
2016;Notodden;27 år;27;23;-4
2016;Notodden;28 år;19;23;4
2016;Notodden;29 år;12;14;2
2016;Notodden;3 år;4;4;0
2016;Notodden;30 år;7;14;7
2016;Notodden;31 år;20;12;-8
2016;Notodden;32 år;19;13;-6
2016;Notodden;33 år;14;9;-5
2016;Notodden;34 år;8;9;1
2016;Notodden;35 år;4;8;4
2016;Notodden;36 år;6;11;5
2016;Notodden;37 år;9;10;1
2016;Notodden;38 år;7;5;-2
2016;Notodden;39 år;13;8;-5
2016;Notodden;4 år;8;6;-2
2016;Notodden;40 år;7;7;0
2016;Notodden;41 år;5;6;1
2016;Notodden;42 år;7;6;-1
2016;Notodden;43 år;7;6;-1
2016;Notodden;44 år;7;7;0
2016;Notodden;45 år;5;9;4
2016;Notodden;46 år;3;5;2
2016;Notodden;47 år;8;4;-4
2016;Notodden;48 år;6;6;0
2016;Notodden;49 år;6;4;-2
2016;Notodden;5 år;4;11;7
2016;Notodden;50 år;4;5;1
2016;Notodden;51 år;8;4;-4
2016;Notodden;52 år;6;;-6
2016;Notodden;53 år;3;6;3
2016;Notodden;54 år;5;4;-1
2016;Notodden;55 år;2;3;1
2016;Notodden;56 år;3;4;1
2016;Notodden;57 år;6;2;-4
2016;Notodden;58 år;6;3;-3
2016;Notodden;59 år;4;3;-1
2016;Notodden;6 år;3;5;2
2016;Notodden;60 år;2;1;-1
2016;Notodden;61 år;4;4;0
2016;Notodden;62 år;;3;3
2016;Notodden;63 år;2;;-2
2016;Notodden;64 år;4;1;-3
2016;Notodden;65 år;1;3;2
2016;Notodden;66 år;;4;4
2016;Notodden;67 år;1;1;0
2016;Notodden;68 år;2;2;0
