Fylke,År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortFylke
Hele landet,2025-01-01,Kjønn samlet,75-79 år,KOLS (J44),"per 1000, standardisert",8.2,1,12,2
Hele landet,2025-01-01,Kjønn samlet,75-79 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",42.5,1,12,2
Hele landet,2025-01-01,Kjønn samlet,75-79 år,Personskader (S00-T78),"per 1000, standardisert",27.1,1,12,2
Hele landet,2025-01-01,Kjønn samlet,75-79 år,Hodeskader (S00-S09),"per 1000, standardisert",6.0,1,12,2
Hele landet,2025-01-01,Kjønn samlet,75-79 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",6.8,1,12,2
Hele landet,2025-01-01,Kjønn samlet,75-79 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.6,1,12,2
Hele landet,2025-01-01,Kjønn samlet,80 år+,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",85.9,1,13,2
Hele landet,2025-01-01,Kjønn samlet,80 år+,KOLS (J44),"per 1000, standardisert",9.1,1,13,2
Hele landet,2025-01-01,Kjønn samlet,80 år+,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",37.1,1,13,2
Hele landet,2025-01-01,Kjønn samlet,80 år+,Personskader (S00-T78),"per 1000, standardisert",55.7,1,13,2
Hele landet,2025-01-01,Kjønn samlet,80 år+,Hodeskader (S00-S09),"per 1000, standardisert",15.7,1,13,2
Hele landet,2025-01-01,Kjønn samlet,80 år+,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",17.7,1,13,2
Hele landet,2025-01-01,Kjønn samlet,80 år+,Forgiftninger (T36-T65),"per 1000, standardisert",0.7,1,13,2
Hele landet,2025-01-01,Menn,Alle aldre,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",18.6,2,1,2
Hele landet,2025-01-01,Menn,Alle aldre,KOLS (J44),"per 1000, standardisert",1.3,2,1,2
Hele landet,2025-01-01,Menn,Alle aldre,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",13.8,2,1,2
Hele landet,2025-01-01,Menn,Alle aldre,Personskader (S00-T78),"per 1000, standardisert",13.7,2,1,2
Hele landet,2025-01-01,Menn,Alle aldre,Hodeskader (S00-S09),"per 1000, standardisert",3.1,2,1,2
Hele landet,2025-01-01,Menn,Alle aldre,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.2,2,1,2
Hele landet,2025-01-01,Menn,Alle aldre,Forgiftninger (T36-T65),"per 1000, standardisert",0.6,2,1,2
Hele landet,2025-01-01,Menn,0-74 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",12.0,2,2,2
Hele landet,2025-01-01,Menn,0-74 år,KOLS (J44),"per 1000, standardisert",0.6,2,2,2
Hele landet,2025-01-01,Menn,0-74 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",11.9,2,2,2
Hele landet,2025-01-01,Menn,0-74 år,Personskader (S00-T78),"per 1000, standardisert",11.6,2,2,2
Hele landet,2025-01-01,Menn,0-74 år,Hodeskader (S00-S09),"per 1000, standardisert",2.3,2,2,2
Hele landet,2025-01-01,Menn,0-74 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.4,2,2,2
Hele landet,2025-01-01,Menn,0-74 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.5,2,2,2
Hele landet,2025-01-01,Menn,0-44 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",2.0,2,3,2
Hele landet,2025-01-01,Menn,0-44 år,KOLS (J44),"per 1000, standardisert",0.0,2,3,2
Hele landet,2025-01-01,Menn,0-44 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",5.9,2,3,2
Hele landet,2025-01-01,Menn,0-44 år,Personskader (S00-T78),"per 1000, standardisert",10.9,2,3,2
Hele landet,2025-01-01,Menn,0-44 år,Hodeskader (S00-S09),"per 1000, standardisert",2.2,2,3,2
Hele landet,2025-01-01,Menn,0-44 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.0,2,3,2
Hele landet,2025-01-01,Menn,0-44 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.5,2,3,2
Hele landet,2025-01-01,Menn,0-24 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",0.9,2,4,2
Hele landet,2025-01-01,Menn,0-24 år,KOLS (J44),"per 1000, standardisert",0.0,2,4,2
Hele landet,2025-01-01,Menn,0-24 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",3.5,2,4,2
Hele landet,2025-01-01,Menn,0-24 år,Personskader (S00-T78),"per 1000, standardisert",12.6,2,4,2
Hele landet,2025-01-01,Menn,0-24 år,Hodeskader (S00-S09),"per 1000, standardisert",3.1,2,4,2
Hele landet,2025-01-01,Menn,0-24 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.0,2,4,2
Hele landet,2025-01-01,Menn,0-24 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.5,2,4,2
Hele landet,2025-01-01,Menn,0-14 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",0.6,2,5,2
Hele landet,2025-01-01,Menn,0-14 år,KOLS (J44),"per 1000, standardisert",,2,5,2
Hele landet,2025-01-01,Menn,0-14 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",1.9,2,5,2
Hele landet,2025-01-01,Menn,0-14 år,Personskader (S00-T78),"per 1000, standardisert",11.4,2,5,2
Hele landet,2025-01-01,Menn,0-14 år,Hodeskader (S00-S09),"per 1000, standardisert",3.5,2,5,2
Hele landet,2025-01-01,Menn,0-14 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",,2,5,2
Hele landet,2025-01-01,Menn,0-14 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.2,2,5,2
Hele landet,2025-01-01,Menn,15-24 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",1.3,2,6,2
Hele landet,2025-01-01,Menn,15-24 år,KOLS (J44),"per 1000, standardisert",,2,6,2
Hele landet,2025-01-01,Menn,15-24 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",5.5,2,6,2
Hele landet,2025-01-01,Menn,15-24 år,Personskader (S00-T78),"per 1000, standardisert",14.0,2,6,2
Hele landet,2025-01-01,Menn,15-24 år,Hodeskader (S00-S09),"per 1000, standardisert",2.5,2,6,2
Hele landet,2025-01-01,Menn,15-24 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",,2,6,2
Hele landet,2025-01-01,Menn,15-24 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.8,2,6,2
Hele landet,2025-01-01,Menn,25-44 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",3.2,2,7,2
Hele landet,2025-01-01,Menn,25-44 år,KOLS (J44),"per 1000, standardisert",0.0,2,7,2
Hele landet,2025-01-01,Menn,25-44 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",8.4,2,7,2
Hele landet,2025-01-01,Menn,25-44 år,Personskader (S00-T78),"per 1000, standardisert",9.3,2,7,2
Hele landet,2025-01-01,Menn,25-44 år,Hodeskader (S00-S09),"per 1000, standardisert",1.4,2,7,2
Hele landet,2025-01-01,Menn,25-44 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.1,2,7,2
Hele landet,2025-01-01,Menn,25-44 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.6,2,7,2
